"","HC","coef","criterion","test","value"
"277","HC0","x1","power","saddle_V1",0.997472140700916
"278","HC0","x2","power","saddle_V1",0.202073618474478
"279","HC0","x3","power","saddle_V1",0.0733839617943805
"280","HC0","x4","power","saddle_V1",0.773858035516323
"281","HC0","x0","size","saddle_V1",0.419787415576313
"282","HC0","x1","size","saddle_V1",0.36833489077259
"283","HC0","x2","size","saddle_V1",0.563344900531275
"284","HC0","x3","size","saddle_V1",0.209887557804717
"285","HC0","x4","size","saddle_V1",0.386401728800085
"286","HC0","x0","power","saddle_V1",0.656129016015454
"287","HC0","x1","power","saddle_V1",0.18748744229028
"288","HC0","x2","power","saddle_V1",0.210609340411903
"289","HC0","x3","power","saddle_V1",0.150488207960528
"290","HC0","x4","power","saddle_V1",0.386401728800085
"291","HC0","x0","size","saddle_V1",0.0914961764472815
"292","HC0","x1","size","saddle_V1",0.171573380244144
"293","HC0","x2","size","saddle_V1",0.415384629147428
"294","HC0","x3","size","saddle_V1",0.516128838350124
"295","HC0","x4","size","saddle_V1",0.847478717415204
"296","HC0","x0","power","saddle_V1",0.227760229674956
"297","HC0","x1","power","saddle_V1",0.0646124109534
"298","HC0","x2","power","saddle_V1",0.445621953186589
"299","HC0","x3","power","saddle_V1",0.0322300149296173
"300","HC0","x4","power","saddle_V1",0.847478717415204
"301","HC0","x0","size","saddle_V1",0.964504691341068
"302","HC0","x1","size","saddle_V1",0.875700436011418
"303","HC0","x2","size","saddle_V1",0.361964689193602
"304","HC0","x3","size","saddle_V1",0.46557975800493
"305","HC0","x4","size","saddle_V1",0.947036549439319
"306","HC0","x0","power","saddle_V1",0.548257184518507
"307","HC0","x1","power","saddle_V1",0.569703702263604
"308","HC0","x2","power","saddle_V1",0.188297705160924
"309","HC0","x3","power","saddle_V1",0.0166938857692099
"310","HC0","x4","power","saddle_V1",0.947036549439319
"311","HC0","x0","size","saddle_V1",0.417585196744079
"312","HC0","x1","size","saddle_V1",0.315269812495945
"313","HC0","x2","size","saddle_V1",0.173586879780381
"314","HC0","x3","size","saddle_V1",0.835832171835791
"315","HC0","x4","size","saddle_V1",0.22038256772949
"316","HC0","x0","power","saddle_V1",0.614550819100892
"317","HC0","x1","power","saddle_V1",0.196600922895307
"318","HC0","x2","power","saddle_V1",0.401990478917466
"319","HC0","x3","power","saddle_V1",0.24314136111978
"320","HC0","x4","power","saddle_V1",0.22038256772949
"321","HC0","x0","size","saddle_V1",0.00786909214068772
"322","HC0","x1","size","saddle_V1",0.0112004438148351
"323","HC0","x2","size","saddle_V1",0.0767683221687449
"324","HC0","x3","size","saddle_V1",0.161807664733347
"325","HC0","x4","size","saddle_V1",0.376854104618052
"326","HC0","x0","power","saddle_V1",0.0194641499189005
"327","HC0","x1","power","saddle_V1",0.00383783566192942
"328","HC0","x2","power","saddle_V1",0.591139609348714
"329","HC0","x3","power","saddle_V1",0.865680210497249
"330","HC0","x4","power","saddle_V1",0.376854104618052
"331","HC0","x0","size","saddle_V1",0.785613637085168
"332","HC0","x1","size","saddle_V1",0.588320251063067
"333","HC0","x2","size","saddle_V1",0.53575692548667
"334","HC0","x3","size","saddle_V1",0.548292994939073
"335","HC0","x4","size","saddle_V1",0.871583595330153
"336","HC0","x0","power","saddle_V1",0.850804434328187
"337","HC0","x1","power","saddle_V1",0.308262346525245
