"",".n","HC","coef","criterion","saddle_V1","saddle_V2"
"416",42,"HC0","x0","power",0.444594184322475,0.45021206183422
"417",42,"HC0","x1","power",0.825663432730869,0.826117143333387
"418",42,"HC0","x2","power",0.0202713368722468,0.0258031686688797
"419",42,"HC0","x3","power",0.078166004262821,0.0905938919445125
"420",42,"HC0","x4","power",0.924776223916809,0.925560653979132
"421",43,"HC0","x0","size",0.160259188152369,0.163087646394511
"422",43,"HC0","x1","size",0.536621917225668,0.544161627457162
"423",43,"HC0","x2","size",0.591196506379564,0.594804769751235
"424",43,"HC0","x3","size",0.872232439742466,0.873118033401142
"425",43,"HC0","x4","size",0.540350745809188,0.554030113010815
"426",43,"HC0","x0","power",0.0773060452039606,0.0798235198201887
"427",43,"HC0","x1","power",0.910841731884501,0.912073212521227
"428",43,"HC0","x2","power",0.0217841059235675,0.0256392036257282
"429",43,"HC0","x3","power",0.119951279278392,0.126098491981023
"430",43,"HC0","x4","power",0.540350745809188,0.554030113010815
"431",44,"HC0","x0","size",0.0837353937460271,0.0999940049208108
"432",44,"HC0","x1","size",0.178680442174687,0.201054875313377
"433",44,"HC0","x2","size",0.399987917332215,0.405744138274711
"434",44,"HC0","x3","size",0.4277669563875,0.462583789463459
"435",44,"HC0","x4","size",0.651044541844756,0.650158082497404
"436",44,"HC0","x0","power",0.0334862224195374,0.0435673751457853
"437",44,"HC0","x1","power",0.357802239977949,0.376948097477606
"438",44,"HC0","x2","power",0.00601826294231224,0.00828740984384812
"439",44,"HC0","x3","power",0.0532496911269754,0.0846730298360409
"440",44,"HC0","x4","power",0.651044541844756,0.650158082497404
"441",45,"HC0","x0","size",0.183733263662352,0.222778071389779
