"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"108",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x2","size","saddle_V2",0.001,0.012,0.034,0
"109",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x3","power","naive",0.047,0.115,0.177,0
"110",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x3","power","saddle_V1",0.011,0.06,0.108,0
"111",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x3","power","saddle_V2",0.012,0.044,0.092,0
"112",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x3","size","naive",0.021,0.061,0.105,0
"113",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x3","size","saddle_V1",0.004,0.023,0.059,0
"114",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x3","size","saddle_V2",0.004,0.018,0.042,0
"115",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x4","power","naive",0.009,0.03,0.072,0
"116",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x4","power","saddle_V1",0.004,0.023,0.051,0
"117",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x4","power","saddle_V2",0.004,0.019,0.041,0
"118",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x4","size","naive",0.009,0.03,0.072,0
"119",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x4","size","saddle_V1",0.004,0.023,0.051,0
"120",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x4","size","saddle_V2",0.004,0.019,0.041,0
"121",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x0","power","naive",0.007,0.04,0.081,0
"122",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x0","power","saddle_V1",0.001,0.015,0.055,0
