"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"3916",3916,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x2","size","naive",0.009,0.04,0.093,0
"3917",3917,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x2","size","saddle_V1",0.008,0.037,0.092,0
"3918",3918,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x2","size","saddle_V2",0.004,0.029,0.08,0
"3919",3919,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x3","power","naive",0.322,0.554,0.659,0
"3920",3920,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x3","power","saddle_V1",0.265,0.504,0.628,0
"3921",3921,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x3","power","saddle_V2",0.165,0.372,0.523,0
"3922",3922,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x3","size","naive",0.008,0.051,0.091,0
"3923",3923,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x3","size","saddle_V1",0.007,0.037,0.078,0
"3924",3924,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x3","size","saddle_V2",0.006,0.024,0.058,0
"3925",3925,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x4","power","naive",0.008,0.047,0.086,0
"3926",3926,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x4","power","saddle_V1",0.007,0.043,0.086,0
"3927",3927,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x4","power","saddle_V2",0.006,0.034,0.078,0
"3928",3928,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x4","size","naive",0.008,0.047,0.086,0
"3929",3929,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x4","size","saddle_V1",0.007,0.043,0.086,0
"3930",3930,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x4","size","saddle_V2",0.006,0.034,0.078,0
"3931",3931,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x0","power","naive",0.021,0.095,0.162,0
"3932",3932,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x0","power","saddle_V1",0.021,0.083,0.16,0
"3933",3933,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x0","power","saddle_V2",0.017,0.061,0.142,0
"3934",3934,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x0","size","naive",0.012,0.051,0.08,0
"3935",3935,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x0","size","saddle_V1",0.01,0.051,0.08,0
"3936",3936,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x0","size","saddle_V2",0.009,0.045,0.074,0
"3937",3937,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x1","power","naive",0.025,0.109,0.184,0
"3938",3938,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x1","power","saddle_V1",0.025,0.105,0.181,0
"3939",3939,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x1","power","saddle_V2",0.018,0.077,0.154,0
"3940",3940,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x1","size","naive",0.015,0.04,0.085,0
"3941",3941,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x1","size","saddle_V1",0.014,0.04,0.084,0
"3942",3942,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x1","size","saddle_V2",0.012,0.035,0.063,0
"3943",3943,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x2","power","naive",0.581,0.793,0.867,0
"3944",3944,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x2","power","saddle_V1",0.561,0.787,0.864,0
"3945",3945,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x2","power","saddle_V2",0.498,0.761,0.848,0
"3946",3946,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x2","size","naive",0.009,0.039,0.094,0
"3947",3947,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x2","size","saddle_V1",0.01,0.04,0.093,0
"3948",3948,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x2","size","saddle_V2",0.005,0.03,0.085,0
"3949",3949,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x3","power","naive",0.365,0.59,0.697,0
"3950",3950,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x3","power","saddle_V1",0.312,0.557,0.671,0
"3951",3951,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x3","power","saddle_V2",0.213,0.436,0.579,0
"3952",3952,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x3","size","naive",0.011,0.061,0.105,0
"3953",3953,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x3","size","saddle_V1",0.007,0.05,0.096,0
"3954",3954,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x3","size","saddle_V2",0.007,0.033,0.069,0
"3955",3955,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x4","power","naive",0.007,0.047,0.086,0
"3956",3956,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x4","power","saddle_V1",0.008,0.045,0.086,0
"3957",3957,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x4","power","saddle_V2",0.007,0.034,0.078,0
"3958",3958,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x4","size","naive",0.007,0.047,0.086,0
"3959",3959,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x4","size","saddle_V1",0.008,0.045,0.086,0
"3960",3960,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4m","x4","size","saddle_V2",0.007,0.034,0.078,0
"3961",3961,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x0","power","naive",0.02,0.096,0.16,0
"3962",3962,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x0","power","saddle_V1",0.02,0.089,0.155,0
"3963",3963,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x0","power","saddle_V2",0.016,0.067,0.136,0
"3964",3964,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC5","x0","size","naive",0.013,0.055,0.082,0
