"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"128",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x1","power","saddle_V1",0.01,0.04,0.081,0
"129",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x1","power","saddle_V2",0.007,0.038,0.066,0
"130",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x1","size","naive",0.008,0.039,0.07,0
"131",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x1","size","saddle_V1",0,0.028,0.051,0
"132",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x1","size","saddle_V2",0.001,0.023,0.044,0
"133",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x2","power","naive",0.409,0.627,0.736,0
"134",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x2","power","saddle_V1",0.269,0.536,0.669,0
"135",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x2","power","saddle_V2",0.197,0.443,0.587,0
"136",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x2","size","naive",0.01,0.046,0.084,0
"137",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x2","size","saddle_V1",0.003,0.036,0.061,0
"138",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x2","size","saddle_V2",0.002,0.022,0.049,0
"139",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x3","power","naive",0.385,0.571,0.669,0
"140",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x3","power","saddle_V1",0.182,0.375,0.497,0
"141",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x3","power","saddle_V2",0.153,0.327,0.445,0
"142",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x3","size","naive",0.009,0.043,0.074,0
"143",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x3","size","saddle_V1",0.002,0.013,0.035,0
"144",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x3","size","saddle_V2",0.002,0.011,0.033,0
"145",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x4","power","naive",0.011,0.047,0.088,0
