"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"106",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x1","power","saddle_V2",0.045,0.1665,0.275,0
"107",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x1","size","saddle_V1",0.009,0.046,0.0875,0
"108",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x1","size","saddle_V2",0.0055,0.0335,0.0725,0
"109",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x3","power","saddle_V1",0.807,0.9225,0.959,0
"110",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x3","power","saddle_V2",0.7145,0.879,0.9275,0
"111",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x3","size","saddle_V1",0.005,0.033,0.0735,0
"112",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x3","size","saddle_V2",0.0045,0.028,0.0665,0
"113",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x4","power","saddle_V1",0.0105,0.055,0.108,0
"114",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x4","power","saddle_V2",0.0075,0.04,0.092,0
"115",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x4","size","saddle_V1",0.0105,0.055,0.108,0
"116",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x4","size","saddle_V2",0.0075,0.04,0.092,0
"117",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","xD","power","saddle_V1",0.336,0.5815,0.7155,0
"118",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","xD","power","saddle_V2",0.257,0.5205,0.675,0
"119",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","xD","size","saddle_V1",0.0085,0.0435,0.097,0
"120",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","xD","size","saddle_V2",0.004,0.037,0.074,0
"121",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x0","power","saddle_V1",0.078,0.2195,0.3295,0
"122",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x0","power","saddle_V2",0.059,0.187,0.298,0
"123",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x0","size","saddle_V1",0.007,0.0365,0.0845,0
"124",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x0","size","saddle_V2",0.0045,0.029,0.0705,0
"125",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x1","power","saddle_V1",0.1215,0.3195,0.454,0
"126",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x1","power","saddle_V2",0.086,0.271,0.4045,0
"127",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x1","size","saddle_V1",0.005,0.032,0.073,0
"128",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x1","size","saddle_V2",0.0035,0.024,0.0635,0
"129",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x3","power","saddle_V1",0.9355,0.9695,0.9835,0
"130",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x3","power","saddle_V2",0.84,0.919,0.955,0
"131",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x3","size","saddle_V1",0.0035,0.023,0.0565,0
"132",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x3","size","saddle_V2",0.003,0.0215,0.055,0
"133",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x4","power","saddle_V1",0.0085,0.0405,0.0915,0
"134",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x4","power","saddle_V2",0.006,0.034,0.079,0
"135",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x4","size","saddle_V1",0.0085,0.0405,0.0915,0
"136",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","x4","size","saddle_V2",0.006,0.034,0.079,0
"137",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","xD","power","saddle_V1",0.6765,0.8765,0.933,0
"138",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","xD","power","saddle_V2",0.5885,0.838,0.915,0
"139",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","xD","size","saddle_V1",0.0095,0.0385,0.0835,0
"140",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4","xD","size","saddle_V2",0.008,0.0325,0.0685,0
"141",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4m","x0","power","saddle_V1",0.079,0.219,0.332,0
"142",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4m","x0","power","saddle_V2",0.064,0.1955,0.3065,0
"143",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4m","x0","size","saddle_V1",0.007,0.0345,0.084,0
"144",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4m","x0","size","saddle_V2",0.005,0.0295,0.074,0
"145",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4m","x1","power","saddle_V1",0.1305,0.3385,0.474,0
"146",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC4m","x1","power","saddle_V2",0.0965,0.2955,0.4385,0
