MSALabel,MSANo,NumberOfRespondents,DisproportionateBlackDeath,WhiteImplicit,WhiteExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeBlack,PcentBAdegreeWhite,Segregation,BlackImplicit,BlackExplicit,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Fond du Lac, WI MSA",22540,711,-.011,.43157904790932,1.02425106990014,33952,54720, ,.248119178335633, ,.103556390653085,.028,.133448245851737,-1.22727272727273,194,6.7,141.24467250173,1
"Fort Smith, AR-OK MSA",22900,475,-.036,.384547918236062,1.05042016806723,25420,40871,.217455626575217,.19527583294501,.0479273785347927,.0794028660631263,.068,-.050779174071796,-.828571428571428,414.06,8.3,74.7162167556474,1
"Fort Wayne, IN MSA",23060,1910,-.103,.41880004267365,1.0386039132734,28278,53037,.149583710467446,.186569227455078,.0474901807778302,.113187638919871,.258,-.100861073838036,-1.98816568047337,237.34,8.5,305.854385072958,1
"Fresno, CA MSA",23420,1565,-.051,.391669453662048,.97790404040404,27347,59666,.128575749298139,.081877637344718,.0513392872841025,.0794972183597497,.059,-.0983710443004227,-1.80630630630631,521.36,14.3,156.16840086974,1
"Gadsden, AL MSA",23460,177, ,.396864523986058,1.04046242774566,23195,40468,.21059583101277,.182918203376579,.0380805127992904,.0673280831297573,.373,-.110361854718861,-1.52777777777778,513.74,10.7,195.19972518506, 
"Gainesville, FL MSA",23540,3446,.808,.451084855747607,1.03294117647059,26469,49120,.160850750362738,.0996512414859966,.057851192227158,.124799704780268,.219,-.0031142666406137,-1.46771378708552,601.08,8.9,215.788098916443,2
"Gainesville, GA MSA",23580,448, ,.425150929108791,1.07221006564551,36277,57279,.175062580193526,.128804633782485,.0484445380223039,.0927260029163299,.084,-.00403268545183671,-2.48484848484849,167.58,9.2,457.465180234719, 
"Glens Falls, NY MSA",24020,478, ,.404797275649221,.752,34609,54440,.102890245228222,.229076395036419,.0757116898849182,.0973354444512744,.136,.412414688374814,-2,133.94,8.2,75.9203010516608, 
"Goldsboro, NC MSA",24140,277, ,.41060900259743,1.11567164179104,30854,51628,.194065892826776,.160508705343249,.055869791350369,.0898045423009305,.21,-.00317268995722426,-1.68627450980392,430.12,12.8,221.706551840888, 
"Grand Forks, ND-MN MSA",24220,714, ,.367031218650616,1.05202312138728,25729,50053, ,.14281574001645, ,.119014963419713,.019,.0534705395653766,-1.11111111111111,83.14,4.5,28.8953402561301, 
"Grand Rapids-Wyoming, MI MSA",24340,4146,-.065,.384287990415354,.894261088921588,26572,55294,.12440319726157,.160817086148175,.0479261979370326,.133121252748835,.221,-.0493920620354474,-1.63309352517986,337.775,8.7,278.020035995712,2
"Great Falls, MT MSA",24500,384, ,.344353680907682,.674033149171271,47367,46473, ,.190252354920188, ,.116797707829494,.044,.0460920293705959,-1.52173913043478,229.24,5.5,30.1416755746767, 
"Greeley, CO MSA",24540,1873, ,.349061667730037,.786042240587695,33258,62434,.140902131928492,.114799578727405,.0850924855411676,.118406547647855,.012,.0116552615163454,-1.36448598130841,286.78,7.5,63.4085538658099, 
"Green Bay, WI MSA",24580,2670,-.022,.381473484319745,1.07862161257946,24673,54720,.107818620114771,.213646399235736,.0539824570181144,.127097017080098,.074,.0635673038956999,-1.19718309859155,191.6,6.9,163.746487824114,2
"Greensboro-High Point, NC MSA",24660,2506,-.261,.423689074342736,1.04330862270776,32414,50924,.16051145408466,.163266713045991,.0883127991236821,.138031797567836,.298,-.043882476947439,-1.93259162303665,354.65,10.4,363.030971136932,1
"Greenville, NC MSA",24780,1677,.661,.452392352843663,1.3868792152054,27854,50724,.173756890824843,.105023861046841,.0540523844823326,.139664575705161,.12,-.063546761685541,-1.50739644970414,426.4,12.1,206.459930748242,2
"Hagerstown-Martinsburg, MD-WV MSA",25180,731,.91,.419397911571575,.938775510204082,40545,55585,.170165992027424,.232975310839376,.0434300366814771,.0865936407285287,.166,-.0367721947967059,-2.03571428571429,247.325,10,267.005383510149,1
"Hanford-Corcoran, CA MSA",25260,169,-.064,.382303713188185,.63905325443787,50724,60323,.134537290765624,.0785838419459396,.0442611178975866,.0515374211480254,.078,-.030703029635248,-.457142857142857,427.4,14.2,110.104899736533,1
"Harrisburg-Carlisle, PA MSA",25420,3138, ,.40465493916646,1.00299490865529,37409,60644,.196388751400858,.236486955836658,.0548538364391491,.131141547404313,.289,-.0644054775067231,-1.77721518987342,287.075,6.8,338.774159756164, 
"Harrisonburg, VA MSA",25500,1882,-.039,.391094171357712,.924291686019509,30844,49084,.124037856353759,.161581473255946,.0278084871502783,.0976586600485975,.031,.00605843957139518,-1.74074074074074,127.1,6.3,144.521022176733,2
"Hartford-West Hartford-East Hartford, CT MSA",25540,6550,-.11,.415531056547488,.900340715502556,43298,76952,.169158904791656,.159665901820265,.0681034214488674,.1491006369655,.287,-.0318803161729115,-1.69736842105263,278.62,9.4,800.45656238249,2
"Hattiesburg, MS MSA",25620,360, ,.469223557262827,1.29775280898876,25364,50782,.148225219118903,.139072461991419,.0617780785232411,.135593388038051,.276,-.0340402971098612,-1.96172248803828,129.2,10.9,88.6875228666076, 
"Hot Springs, AR MSA",26300,197, ,.421256877789383,.954128440366972,20139,42251,.20811833505332,.19627406961787,.0400511081625633,.10659838891905,.108,-.0776908245453155,-1.8,515.766666666667,10,141.674062699906, 
"Huntington-Ashland, WV-KY-OH MSA",26580,702, ,.400120218553899,.834912043301759,22639,42471,.146103183752927,.224525452030181,.0516098277079452,.0814479977643877,.108,.0505129969372745,-1.16216216216216, ,8.3,164.907120961419, 
"Huntsville, AL MSA",26620,1117,-.22,.42379457875094,.980701754385965,36078,63975,.12211564886375,.124596861800225,.0937677504421702,.167728044633105,.279,-.0635110657333282,-1.65608465608466,476.52,9.4,306.708760304726,1
"Iowa City, IA MSA",26980,3734, ,.411997702307596,1,23935,56209,.0883066996498173,.104888469569006,.0862964658366507,.154788003613826,.045,.0408640150735127,-1.37762237762238,258.3,3.8,128.995883969652, 
"Ithaca, NY MSA",27060,2046, ,.408367923018072,.711996114618748,22010,56475,.0458240082663662,.102018014503205,.0607821042289624,.122364703588224,.023,.0343395544533353,-1.65898617511521,117.6,5.8,213.977191735613, 
"Jackson, MI MSA",27100,459, ,.412458355381447,.92798353909465,22847,48710,.145550782234429,.201371539719778,.020425601949102,.0929664562925843,.235,-.000104976714129488,-1.24,400.7,11.8,228.38221487727, 
"Jackson, MS MSA",27140,827, ,.427872110418559,1.30602409638554,31057,61297,.137745260029374,.138537969459385,.0686438291675063,.158101370659677,.382,-.119437590809986,-1.7720207253886,387.9,9.1,144.669025954031, 
"Jackson, TN MSA",27180,440, ,.451334766519599,1.22018348623853,27643,48977,.194717446064938,.17733774815698,.0546933909443699,.109002255106118,.319,-.11081620125632,-1.86363636363636,807.66,10.6,136.945626252768, 
