"","g","n","B","whichX","alpha_string","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"101",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","saddle_E",0,0,0.001,0.014,0.032
"102",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","saddle_H",0,0,0.001,0.012,0.026
"103",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","Satt_E",0,0,0,0.004,0.015
"104",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","Satt_H",0,0,0,0.007,0.02
"105",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","KCCI_E",0,0,0,0.004,0.009
"106",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","KCCI_H",0,0,0,0.006,0.02
"107",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","KCp_E",0,0.002,0.003,0.006,0.013
"108",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","KCp_H",0,0.001,0.003,0.011,0.022
"109",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","naive",0,0.004,0.005,0.022,0.049
"110",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","RCI_E",0,0.005,0.006,0.009,0.014
"111",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","RCI_H",0,0,0,0,0.005
"112",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","Rp_E",0,0.002,0.004,0.005,0.008
"113",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","Rp_H",0,0,0,0,0
"114",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","saddle_E",0,0,0.001,0.007,0.018
"115",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC4","x4","power","saddle_H",0,0,0,0.009,0.022
