"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"124",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","RCI_H",0,0,0,0.1,0.2
"125",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","Rp_E",0,0.1,0.1,0.1,0.2
"126",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","Rp_H",0,0,0,0.1,0.2
"127",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","saddle_E",0,0,0.1,0.1,0.2
"128",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","saddle_H",0,0,0.1,0.1,0.2
"129",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","Satt_E",0,0,0.1,0.1,0.2
"130",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","Satt_H",0,0,0,0.1,0.2
"131",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","KCCI_E",0,0,0.1,0.1,0.2
"132",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","KCCI_H",0,0,0,0.1,0.2
"133",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","KCp_E",0,0,0.1,0.1,0.2
"134",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","KCp_H",0,0,0,0.1,0.2
"135",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","naive",0,0.1,0.1,0.1,0.2
"136",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","RCI_E",0,0.2,0.2,0.2,0.3
"137",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC2","x4","size","RCI_H",0,0,0,0.1,0.2
