"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"9731",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","power","saddle_V1",0,0,1
"9732",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","power","saddle_V2",0,0,0
"9733",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","size","naive",0,0,0
"9734",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","size","Satt",0,0,0
"9735",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","size","saddle_V1",0,0,0
"9736",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","size","saddle_V2",0,0,0
"9737",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","power","naive",1,1,1
"9738",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","power","Satt",1,1,1
"9739",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","power","saddle_V1",1,1,1
"9740",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","power","saddle_V2",1,1,1
"9741",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","size","naive",0,0,0
"9742",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","size","Satt",0,0,0
"9743",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","size","saddle_V1",0,0,0
"9744",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x2","size","saddle_V2",0,0,0
"9745",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","power","naive",1,1,1
"9746",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","power","Satt",1,1,1
"9747",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","power","saddle_V1",1,1,1
"9748",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","power","saddle_V2",1,1,1
"9749",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x3","size","naive",0,0,0
