"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"136",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","size","saddle_V2",0,0,0
"137",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","power","naive",0,0,1
"138",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","power","Satt",0,0,1
"139",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","power","saddle_V1",0,0,1
"140",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","power","saddle_V2",0,0,0
"141",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","size","naive",0,0,0
"142",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","size","Satt",0,0,0
"143",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","size","saddle_V1",0,0,0
"144",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x2","size","saddle_V2",0,0,0
"145",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","power","naive",0,1,1
"146",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","power","Satt",0,1,1
"147",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","power","saddle_V1",0,1,1
"148",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","power","saddle_V2",0,0,1
"149",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","size","naive",0,0,0
"150",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","size","Satt",0,0,0
"151",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","size","saddle_V1",0,0,0
"152",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x3","size","saddle_V2",0,0,0
"153",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","power","naive",0,0,0
"154",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","power","Satt",0,0,0
"155",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","power","saddle_V1",0,0,0
"156",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","power","saddle_V2",0,0,0
"157",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","size","naive",0,0,0
"158",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","size","Satt",0,0,0
"159",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","size","saddle_V1",0,0,0
"160",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x4","size","saddle_V2",0,0,0
