"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"93",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B2","Size",0.034,0.044,0.04,0.039,0.037,0.042,0.04,0.042
"94",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B3","Size",0.05,0.068,0.067,0.063,0.056,0.068,0.066,0.068
"95",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B4","Size",0.046,0.052,0.051,0.051,0.049,0.052,0.052,0.052
"96",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B0","Power",0.387,0.411,0.404,0.403,0.393,0.409,0.408,0.409
"97",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B1","Power",0.496,0.498,0.49,0.488,0.48,0.496,0.493,0.496
"98",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B2","Power",1,1,1,1,1,1,1,1
"99",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B3","Power",1,1,1,1,1,1,1,1
"100",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B4","Power",0.046,0.052,0.051,0.051,0.049,0.052,0.052,0.052
"101",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B0","Size",0.044,0.052,0.051,0.049,0.048,0.052,0.051,0.052
"102",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B1","Size",0.052,0.057,0.057,0.056,0.054,0.057,0.057,0.057
"103",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B2","Size",0.048,0.05,0.05,0.048,0.047,0.05,0.05,0.05
"104",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B3","Size",0.048,0.055,0.055,0.052,0.05,0.055,0.054,0.055
"105",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B4","Size",0.05,0.055,0.053,0.053,0.051,0.054,0.053,0.054
"106",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B0","Power",0.693,0.707,0.704,0.703,0.701,0.705,0.705,0.705
"107",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B1","Power",0.777,0.778,0.773,0.772,0.764,0.775,0.774,0.775
"108",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B2","Power",1,1,1,1,1,1,1,1
"109",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B3","Power",1,1,1,1,1,1,1,1
"110",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,780086109,"B4","Power",0.05,0.055,0.053,0.053,0.051,0.054,0.053,0.054
"111",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B0","Size",0.055,0.059,0.059,0.059,0.058,0.059,0.059,0.059
"112",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B1","Size",0.058,0.059,0.059,0.058,0.058,0.059,0.059,0.059
"113",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B2","Size",0.052,0.056,0.055,0.054,0.053,0.056,0.056,0.056
"114",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B3","Size",0.058,0.056,0.053,0.052,0.052,0.053,0.053,0.053
"115",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B4","Size",0.045,0.045,0.042,0.042,0.042,0.044,0.042,0.044
"116",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,425991818,"B0","Power",0.923,0.932,0.931,0.931,0.93,0.932,0.931,0.932
