"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3"
"111",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B0","Size",0.049,0.058,0.058,0.058,0.056
"112",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B1","Size",0.05,0.053,0.053,0.053,0.052
"113",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B2","Size",0.045,0.046,0.046,0.046,0.046
"114",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B3","Size",0.049,0.053,0.051,0.051,0.05
"115",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B4","Size",0.056,0.053,0.053,0.053,0.053
"116",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B0","Power",0.92,0.925,0.924,0.924,0.923
"117",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B1","Power",0.973,0.975,0.974,0.974,0.974
"118",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B2","Power",1,1,1,1,1
"119",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B3","Power",1,1,1,1,1
"120",1000,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1012089989,"B4","Power",0.056,0.053,0.053,0.053,0.053
"121",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B0","Size",0.041,0.101,0.071,0.066,0.029
"122",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B1","Size",0.06,0.111,0.075,0.068,0.03
"123",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B2","Size",0.058,0.113,0.084,0.072,0.045
"124",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B3","Size",0.083,0.168,0.125,0.104,0.054
"125",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B4","Size",0.041,0.094,0.067,0.062,0.032
"126",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B0","Power",0.06,0.123,0.083,0.074,0.04
"127",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B1","Power",0.072,0.12,0.086,0.079,0.04
"128",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B2","Power",0.331,0.437,0.374,0.349,0.262
"129",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B3","Power",0.392,0.479,0.413,0.36,0.252
"130",25,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,79999402,"B4","Power",0.041,0.094,0.067,0.062,0.032
"131",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B0","Size",0.05,0.074,0.065,0.06,0.045
"132",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B1","Size",0.059,0.078,0.068,0.062,0.046
"133",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B2","Size",0.052,0.082,0.07,0.067,0.054
"134",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B3","Size",0.091,0.112,0.096,0.083,0.064
"135",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B4","Size",0.041,0.068,0.053,0.053,0.041
"136",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B0","Power",0.083,0.116,0.099,0.092,0.068
"137",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B1","Power",0.089,0.136,0.108,0.097,0.07
"138",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B2","Power",0.577,0.643,0.601,0.584,0.532
"139",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B3","Power",0.706,0.708,0.678,0.639,0.53
"140",50,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,275101228,"B4","Power",0.041,0.068,0.053,0.053,0.041
"141",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B0","Size",0.052,0.066,0.06,0.058,0.049
"142",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B1","Size",0.053,0.066,0.06,0.057,0.044
"143",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B2","Size",0.054,0.067,0.062,0.055,0.046
"144",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B3","Size",0.089,0.088,0.08,0.069,0.055
"145",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B4","Size",0.043,0.052,0.045,0.043,0.031
"146",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B0","Power",0.105,0.129,0.115,0.113,0.096
"147",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B1","Power",0.137,0.151,0.139,0.129,0.113
"148",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B2","Power",0.905,0.912,0.905,0.898,0.882
"149",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B3","Power",0.94,0.912,0.902,0.882,0.842
"150",100,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,487787395,"B4","Power",0.043,0.052,0.045,0.043,0.031
"151",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B0","Size",0.055,0.057,0.055,0.053,0.049
"152",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B1","Size",0.06,0.06,0.056,0.054,0.05
"153",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B2","Size",0.053,0.058,0.055,0.053,0.051
"154",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B3","Size",0.114,0.07,0.068,0.063,0.057
"155",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B4","Size",0.052,0.054,0.05,0.05,0.05
"156",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B0","Power",0.234,0.234,0.227,0.225,0.222
"157",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B1","Power",0.26,0.249,0.246,0.243,0.232
"158",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B2","Power",0.999,0.999,0.999,0.999,0.999
"159",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B3","Power",1,1,1,1,0.999
"160",250,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,900243474,"B4","Power",0.052,0.054,0.05,0.05,0.05
"161",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B0","Size",0.061,0.058,0.057,0.055,0.053
"162",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B1","Size",0.058,0.053,0.052,0.049,0.046
"163",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B2","Size",0.05,0.051,0.051,0.05,0.047
"164",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B3","Size",0.119,0.07,0.068,0.065,0.059
"165",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B4","Size",0.057,0.059,0.059,0.059,0.055
"166",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B0","Power",0.379,0.388,0.383,0.381,0.374
"167",500,"1 1 1 1 0 0","E2","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,943240054,"B1","Power",0.478,0.468,0.464,0.459,0.451
